Date,Open,High,Low,Close,AdjClose,Volume
31-Dec-1986,243.37,244.03,241.28,242.17,242.17,"13,92,00,000"
2-Jan-1987,242.17,246.45,242.17,246.45,246.45,"9,18,80,000"
5-Jan-1987,246.45,252.57,246.45,252.19,252.19,"18,19,00,000"
6-Jan-1987,252.2,253.99,252.14,252.78,252.78,"18,93,00,000"
7-Jan-1987,252.78,255.72,252.65,255.33,255.33,"19,09,00,000"
8-Jan-1987,255.36,257.28,254.97,257.28,257.28,"19,45,00,000"
9-Jan-1987,257.26,259.2,256.11,258.73,258.73,"19,30,00,000"
12-Jan-1987,258.72,261.36,257.92,260.3,260.3,"18,42,00,000"
13-Jan-1987,260.3,260.45,259.21,259.95,259.95,"17,09,00,000"
14-Jan-1987,259.95,262.72,259.62,262.64,262.64,"21,42,00,000"
15-Jan-1987,262.65,266.68,262.64,265.49,265.49,"25,31,00,000"
16-Jan-1987,265.46,267.24,264.31,266.28,266.28,"21,84,00,000"
19-Jan-1987,266.26,269.34,264,269.34,269.34,"16,28,00,000"
20-Jan-1987,269.34,271.03,267.65,269.04,269.04,"22,48,00,000"
21-Jan-1987,269.04,270.87,267.35,267.84,267.84,"18,42,00,000"
22-Jan-1987,267.84,274.05,267.32,273.91,273.91,"18,87,00,000"
23-Jan-1987,273.91,280.96,268.41,270.1,270.1,"30,24,00,000"
26-Jan-1987,270.1,270.4,267.73,269.61,269.61,"13,89,00,000"
27-Jan-1987,269.61,274.31,269.61,273.75,273.75,"19,23,00,000"
28-Jan-1987,273.75,275.71,273.03,275.4,275.4,"19,58,00,000"
29-Jan-1987,275.4,276.85,272.54,274.24,274.24,"20,53,00,000"
30-Jan-1987,274.24,274.24,271.38,274.08,274.08,"16,34,00,000"
2-Feb-1987,274.08,277.35,273.16,276.45,276.45,"17,74,00,000"
3-Feb-1987,276.45,277.83,275.84,275.99,275.99,"19,81,00,000"
4-Feb-1987,275.99,279.65,275.35,279.64,279.64,"22,24,00,000"
5-Feb-1987,279.64,282.26,278.66,281.16,281.16,"25,67,00,000"
6-Feb-1987,281.16,281.79,279.87,280.04,280.04,"18,41,00,000"
09-Feb-1987,280.04,280.04,277.24,278.16,278.16,"14,33,00,000"
10-Feb-1987,278.16,278.16,273.49,275.07,275.07,"16,83,00,000"
11-Feb-1987,275.07,277.71,274.71,277.54,277.54,"17,24,00,000"
12-Feb-1987,277.54,278.04,273.89,275.62,275.62,"20,04,00,000"
13-Feb-1987,275.62,280.91,275.01,279.7,279.7,"18,44,00,000"
17-Feb-1987,279.7,285.49,279.7,285.49,285.49,"18,78,00,000"
18-Feb-1987,285.49,287.55,282.97,285.42,285.42,"21,82,00,000"
19-Feb-1987,285.42,286.24,283.84,285.57,285.57,"18,15,00,000"
20-Feb-1987,285.57,285.98,284.31,285.48,285.48,"17,58,00,000"
23-Feb-1987,285.48,285.5,279.37,282.38,282.38,"17,05,00,000"
24-Feb-1987,282.38,283.33,281.45,282.88,282.88,"15,13,00,000"
25-Feb-1987,282.88,285.35,282.14,284,284,"18,41,00,000"
26-Feb-1987,284,284.4,280.73,282.96,282.96,"16,58,00,000"
27-Feb-1987,282.96,284.55,282.77,284.2,284.2,"14,28,00,000"
2-Mar-1987,284.17,284.83,282.3,283,283,"15,67,00,000"
3-Mar-1987,283,284.19,282.92,284.12,284.12,"14,92,00,000"
4-Mar-1987,284.12,288.62,284.12,288.62,288.62,"19,84,00,000"
5-Mar-1987,288.62,291.24,288.6,290.52,290.52,"20,54,00,000"
6-Mar-1987,290.52,290.67,288.77,290.66,290.66,"18,16,00,000"
9-Mar-1987,290.66,290.66,287.12,288.3,288.3,"16,54,00,000"
10-Mar-1987,288.3,290.87,287.89,290.86,290.86,"17,48,00,000"
11-Mar-1987,290.87,292.51,289.33,290.31,290.31,"18,69,00,000"
12-Mar-1987,290.33,291.91,289.66,291.22,291.22,"17,45,00,000"
13-Mar-1987,291.22,291.79,289.88,289.89,289.89,"15,09,00,000"
16-Mar-1987,289.88,289.89,286.64,288.23,288.23,"13,49,00,000"
17-Mar-1987,288.09,292.47,287.96,292.47,292.47,"17,73,00,000"
18-Mar-1987,292.49,294.58,290.87,292.78,292.78,"19,81,00,000"
19-Mar-1987,292.73,294.46,292.26,294.08,294.08,"16,61,00,000"
20-Mar-1987,294.08,298.17,294.08,298.17,298.17,"23,40,00,000"
23-Mar-1987,298.16,301.17,297.5,301.16,301.16,"18,91,00,000"
24-Mar-1987,301.17,301.92,300.14,301.64,301.64,"18,99,00,000"
25-Mar-1987,301.52,301.85,299.36,300.38,300.38,"17,13,00,000"
26-Mar-1987,300.39,302.72,300.38,300.93,300.93,"19,60,00,000"
27-Mar-1987,300.96,301.41,296.06,296.13,296.13,"18,44,00,000"
30-Mar-1987,296.1,296.13,286.69,289.2,289.2,"20,84,00,000"
31-Mar-1987,289.21,291.87,289.07,291.7,291.7,"17,18,00,000"
1-Apr-1987,291.59,292.38,288.34,292.38,292.38,"18,26,00,000"
2-Apr-1987,292.41,294.47,292.02,293.63,293.63,"18,30,00,000"
3-Apr-1987,293.64,301.3,292.3,300.41,300.41,"21,34,00,000"
6-Apr-1987,300.46,302.21,300.41,301.95,301.95,"17,37,00,000"
7-Apr-1987,301.94,303.65,296.67,296.69,296.69,"18,64,00,000"
8-Apr-1987,296.72,299.2,295.18,297.26,297.26,"17,98,00,000"
9-Apr-1987,297.25,297.71,291.5,292.86,292.86,"18,03,00,000"
10-April-1987,292.82,293.74,290.94,292.49,292.49,"16,95,00,000"
13-April-1987,292.48,293.36,285.62,285.62,285.62,"18,10,00,000"
14-April-1987,285.61,285.62,275.67,279.16,279.16,"26,65,00,000"
15-April-1987,279.17,285.14,279.16,284.44,284.44,"19,82,00,000"
16-April-1987,284.45,289.57,284.44,286.91,286.91,"18,96,00,000"
20-April-1987,286.91,288.36,284.55,286.09,286.09,"13,91,00,000"
21-April-1987,285.88,293.07,282.89,293.07,293.07,"19,13,00,000"
22-April-1987,293.05,293.46,286.98,287.19,287.19,"18,59,00,000"
23-April-1987,287.19,289.12,284.28,286.82,286.82,"17,39,00,000"
24-April-1987,286.81,286.82,281.18,281.52,281.52,"17,80,00,000"
27-April-1987,281.52,284.45,276.22,281.83,281.83,"22,27,00,000"
28-April-1987,281.83,285.95,281.83,282.51,282.51,"18,01,00,000"
29-April-1987,282.58,286.42,282.58,284.57,284.57,"17,36,00,000"
30-April-1987,284.58,290.08,284.57,288.36,288.36,"18,31,00,000"
1-May-1987,286.99,289.71,286.52,288.03,288.03,"16,01,00,000"
4-May-1987,288.02,289.99,286.39,289.36,289.36,"14,06,00,000"
5-May-1987,289.36,295.4,289.34,295.34,295.34,"19,23,00,000"
6-May-1987,295.35,296.19,293.6,295.47,295.47,"19,66,00,000"
7-May-1987,295.45,296.8,294.07,294.71,294.71,"21,52,00,000"
8-May-1987,294.73,296.18,291.73,293.37,293.37,"16,19,00,000"
11-May-1987,293.37,298.69,291.55,291.57,291.57,"20,37,00,000"
12-May-1987,291.57,293.3,290.18,293.3,293.3,"15,53,00,000"
13-May-1987,293.31,294.54,290.74,293.98,293.98,"17,10,00,000"
14-May-1987,293.98,295.1,292.95,294.24,294.24,"15,20,00,000"
15-May-1987,294.23,294.24,287.11,287.43,287.43,"18,08,00,000"
18-May-1987,287.43,287.43,282.57,286.65,286.65,"17,42,00,000"
19-May-1987,286.66,287.39,278.83,279.62,279.62,"17,54,00,000"
20-May-1987,279.62,280.89,277.01,278.21,278.21,"20,68,00,000"
21-May-1987,278.23,282.31,278.21,280.17,280.17,"16,48,00,000"
22-May-1987,280.17,283.33,280.17,282.16,282.16,"13,58,00,000"
26-May-1987,282.16,289.11,282.16,289.11,289.11,"15,25,00,000"
27-May-1987,289.07,290.78,288.19,288.73,288.73,"17,14,00,000"
28-May-1987,288.73,291.5,286.33,290.76,290.76,"15,38,00,000"
29-May-1987,290.77,292.87,289.7,290.1,290.1,"15,35,00,000"
1-Jun-1987,290.12,291.96,289.23,289.83,289.83,"14,93,00,000"
2-Jun-1987,289.82,290.94,286.93,288.46,288.46,"15,34,00,000"
3-Jun-1987,288.56,293.47,288.56,293.47,293.47,"16,42,00,000"
4-Jun-1987,293.46,295.09,292.76,295.09,295.09,"14,03,00,000"
5-Jun-1987,295.11,295.11,292.8,293.45,293.45,"12,91,00,000"
8-Jun-1987,293.46,297.03,291.55,296.72,296.72,"13,64,00,000"
9-Jun-1987,296.72,297.59,295.9,297.28,297.28,"16,42,00,000"
10-Jun-1987,297.28,300.81,295.66,297.47,297.47,"19,74,00,000"
11-Jun-1987,297.5,298.94,297.47,298.73,298.73,"13,89,00,000"
12-Jun-1987,298.77,302.26,298.73,301.62,301.62,"17,51,00,000"
15-Jun-1987,301.62,304.11,301.62,303.14,303.14,"15,69,00,000"
16-Jun-1987,303.12,304.86,302.6,304.76,304.76,"15,78,00,000"
17-Jun-1987,304.77,305.74,304.03,304.81,304.81,"18,47,00,000"
