ID,Default,Loan_type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship
1,0,Car ,Female,30,HS      ,114885,641,0,2,Citizen    
2,0,Home,Female,43,HS      ,95770,534,7,2,Citizen    
3,0,Home,Male  ,39,HS      ,94220,558,5,2,Citizen    
4,0,Home,Male  ,39,College ,58946,622,7,2,Citizen    
5,0,Car ,Female,42,HS      ,79754,702,2,1,Citizen    
6,0,Car ,Female,57,Graduate,119627,624,3,2,Non-citizen
7,0,Car ,Male  ,41,HS      ,78765,594,3,2,Citizen    
8,0,Car ,Female,53,HS      ,123167,652,2,2,Non-citizen
9,0,Car ,Female,44,HS      ,116175,694,3,2,Citizen    
10,0,Car ,Female,57,College ,111085,586,3,2,Citizen    
11,0,Car ,Male  ,50,HS      ,54387,593,2,2,Citizen    
12,0,Car ,Male  ,39,HS      ,89468,600,0,2,Citizen    
13,0,Car ,Male  ,52,HS      ,118613,622,0,2,Citizen    
14,0,Car ,Male  ,37,HS      ,84429,615,0,2,Citizen    
15,0,Car ,Female,46,College ,113281,577,3,2,Citizen    
16,0,Home,Female,45,College ,93253,580,10,1,Citizen    
17,0,Car ,Male  ,45,College ,89304,665,3,1,Citizen    
18,0,Car ,Male  ,45,College ,126260,638,1,2,Citizen    
19,0,Car ,Male  ,42,HS      ,77616,655,3,2,Citizen    
20,0,Car ,Female,34,HS      ,88568,630,0,2,Citizen    
21,0,Car ,Male  ,47,HS      ,118155,730,3,1,Citizen    
22,0,Car ,Female,50,College ,132630,625,3,2,Citizen    
23,0,Home,Male  ,46,HS      ,99880,551,8,2,Citizen    
24,1,Home,Female,53,Graduate,118848,701,8,1,Citizen    
25,1,Home,Female,36,College ,109327,682,8,1,Citizen    
26,0,Car ,Female,41,HS      ,90653,641,0,2,Citizen    
27,0,Car ,Female,44,Graduate,122276,709,3,1,Non-citizen
28,0,Car ,Male  ,36,College ,97064,564,2,2,Citizen    
29,0,Car ,Female,41,College ,107481,632,1,2,Citizen    
30,0,Car ,Female,45,College ,113738,625,2,1,Citizen    
31,0,Car ,Male  ,46,HS      ,90207,663,3,2,Citizen    
32,0,Car ,Female,55,Graduate,120783,585,3,1,Citizen    
33,0,Home,Male  ,41,HS      ,104234,586,7,2,Citizen    
34,1,Car ,Female,46,College ,106650,697,3,2,Citizen    
35,0,Home,Male  ,56,College ,109333,586,11,2,Citizen    
36,0,Car ,Male  ,41,HS      ,114009,780,3,2,Citizen    
37,0,Car ,Female,33,College ,73802,551,1,2,Citizen    
38,0,Car ,Male  ,44,HS      ,93651,639,1,2,Citizen    
39,1,Home,Male  ,36,HS      ,90710,667,5,2,Citizen    
40,0,Home,Female,43,HS      ,75956,592,6,2,Citizen    
41,0,Home,Male  ,41,HS      ,80480,689,5,2,Citizen    
42,0,Home,Male  ,50,HS      ,113200,573,6,2,Citizen    
43,0,Car ,Female,51,HS      ,94323,632,0,2,Citizen    
44,0,Car ,Female,39,College ,122986,629,3,1,Citizen    
45,0,Car ,Female,50,HS      ,118155,705,0,2,Citizen    
46,0,Car ,Male  ,41,HS      ,92730,614,1,2,Citizen    
47,0,Car ,Male  ,39,HS      ,106330,650,3,2,Citizen    
48,0,Car ,Male  ,47,HS      ,92742,668,1,1,Citizen    
49,0,Car ,Female,40,HS      ,90204,714,0,1,Citizen    
50,0,Car ,Male  ,57,College ,105074,678,2,2,Citizen    
51,0,Car ,Female,44,HS      ,67887,546,0,2,Citizen    
52,0,Car ,Female,52,College ,117994,753,0,2,Citizen    
53,0,Car ,Female,47,HS      ,115866,669,2,2,Citizen    
54,0,Car ,Male  ,39,HS      ,86162,457,1,2,Citizen    
55,0,Car ,Male  ,45,HS      ,97152,534,0,2,Citizen    
56,0,Home,Female,50,HS      ,127891,596,8,1,Citizen    
57,0,Home,Female,40,HS      ,86997,571,6,2,Citizen    
58,0,Car ,Female,44,HS      ,94050,620,0,2,Citizen    
59,0,Car ,Male  ,47,College ,84924,644,2,2,Citizen    
60,0,Car ,Male  ,48,HS      ,92904,605,3,2,Citizen    
61,0,Car ,Male  ,40,HS      ,94239,563,3,2,Citizen    
62,0,Car ,Male  ,46,HS      ,117596,602,0,2,Citizen    
