age,sex,gmat_tot,gmat_qpc,gmat_vpc,gmat_tpc,s_avg,f_avg,quarter,work_yrs,frstlang,salary,satis
23,2,620,77,87,87,3.4,3,1,2,1,0,7
24,1,610,90,71,87,3.5,4,1,2,1,0,6
24,1,670,99,78,95,3.3,3.25,1,2,1,0,6
24,1,570,56,81,75,3.3,2.67,1,1,1,0,7
24,2,710,93,98,98,3.6,3.75,1,2,1,999,5
24,1,640,82,89,91,3.9,3.75,1,2,1,0,6
25,1,610,89,74,87,3.4,3.5,1,2,1,0,5
25,2,650,88,89,92,3.3,3.75,1,2,1,0,6
25,1,630,79,91,89,3.3,3.25,1,2,2,999,4
25,1,680,99,81,96,3.45,3.67,1,2,1,998,998
26,1,740,99,98,99,3.56,4,1,2,1,998,998
26,2,610,75,87,86,3.4,3.75,1,2,1,998,998
26,1,710,95,95,98,3.5,3.5,1,3,1,998,998
26,1,720,97,97,99,3.4,4,1,2,1,998,998
26,2,660,84,93,94,3.3,3.25,1,4,1,998,998
26,2,640,67,98,92,4,4,1,2,1,998,998
27,2,660,71,99,95,3.5,4,1,4,1,998,998
27,1,600,77,78,84,3.3,3.5,1,3,2,998,998
27,1,630,79,89,89,3.5,4,1,2,1,998,998
27,1,600,91,58,83,3.4,3.25,1,4,1,998,998
27,2,570,65,82,77,3.3,3.25,1,4,1,999,4
27,1,740,99,96,99,3.5,3.5,1,3,1,0,6
27,1,750,99,98,99,3.4,3.5,1,1,2,0,5
28,2,540,75,50,65,3.6,4,1,5,1,0,5
29,1,580,56,87,78,3.64,3.33,1,3,1,0,5
30,1,620,82,84,87,3.4,2.8,1,5,1,999,6
31,2,560,60,78,72,3.3,3.75,1,10,1,0,7
32,1,760,99,99,99,3.4,3,1,5,1,0,5
32,1,640,79,91,91,3.6,3.75,1,7,1,0,6
32,1,570,71,71,0,3.5,3.5,1,4,1,999,4
34,2,620,75,89,87,3.3,3,1,7,1,0,6
37,2,560,43,87,72,3.4,3.5,1,9,1,0,6
42,2,650,75,98,93,3.38,3,1,13,1,0,5
48,1,590,84,62,81,3.8,4,1,22,1,0,6
22,2,660,90,92,94,3.5,3.75,1,1,1,85000,5
27,2,700,94,98,98,3.3,3.25,1,2,1,85000,6
25,2,680,87,96,96,3.5,2.67,1,2,1,86000,5
25,2,650,82,91,93,3.4,3.25,1,3,1,88000,7
27,1,710,96,96,98,3.3,3.5,1,2,1,92000,6
28,2,620,52,98,87,3.4,3.75,1,5,1,93000,5
24,1,670,84,96,95,3.3,3.25,1,0,1,95000,4
25,2,560,52,81,72,3.3,3.5,1,1,1,95000,5
25,2,530,50,62,61,3.6,3.67,1,3,1,95000,3
25,1,650,79,93,93,3.3,3.5,1,1,1,96000,7
26,2,590,56,89,81,3.3,3.25,1,4,1,96000,5
23,2,650,93,81,93,3.4,3,1,2,1,100000,7
24,1,560,81,50,71,3.4,3.67,1,2,1,100000,6
27,1,610,72,84,86,3.3,3.5,1,6,1,100000,6
25,1,650,95,84,93,3.3,3,1,2,1,105000,7
25,1,550,74,50,68,3.5,3.5,1,3,1,105000,6
26,1,570,68,74,75,3.8,3.5,1,3,1,105000,6
26,1,580,79,71,78,3.45,3.5,1,2,1,105000,5
30,1,600,60,91,83,3.3,3.25,1,5,1,105000,6
31,1,570,72,71,75,3.6,3.5,1,6,1,105000,6
30,1,620,60,96,87,3.5,3,1,8,1,106000,7
30,2,680,96,87,96,3.7,3.6,1,6,1,106000,6
27,1,630,93,75,91,3.3,3.25,1,3,1,107500,5
25,1,600,82,74,83,3.5,3.25,1,3,1,108000,6
28,2,640,89,81,91,3.6,3.5,1,6,1,110000,5
